Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology
0.001,1100.0,25,30,0.1060792482526339,0.0273,0,66.99414295794396,WON-4610
0.001,1100.0,30,25,0.11016807219002084,0.0273,0,57.539908450921956,WON-4610
0.001,1100.0,30,30,0.1060792482526339,0.0273,0,55.8284524649533,WON-4610
0.001,1100.0,35,25,0.11016807219002084,0.0273,0,49.31992152936168,WON-4610
0.001,1100.0,35,30,0.1060792482526339,0.0273,0,47.852959255674264,WON-4610
0.0006,2284.6078357263254,30,25,0.07822671821227395,0.0273,0,91.73788710283296,WON-4610
0.0006,2284.6078357263254,30,30,0.0726489114900472,0.0273,0,86.88891414097367,WON-4610
0.0006,2284.6078357263254,35,25,0.07822671821227395,0.0273,0,78.63247465957112,WON-4610
0.0006,2284.6078357263254,35,30,0.0726489114900472,0.0273,0,74.47621212083457,WON-4610
0.0006,2284.6078357263254,45,25,0.07822671821227395,0.0273,0,61.15859140188864,WON-4610
0.0006,2284.6078357263254,45,30,0.0726489114900472,0.0273,0,57.925942760649114,WON-4610
0.0006,1692.3039178631627,25,25,0.07822671821227395,0.0273,0,81.54487610496493,WON-4610
0.0006,1692.3039178631627,25,30,0.0726489114900472,0.0273,0,77.23467328802072,WON-4610
0.0006,1692.3039178631627,30,25,0.07822671821227395,0.0273,0,67.9540634208041,WON-4610
0.0006,1692.3039178631627,30,30,0.0726489114900472,0.0273,0,64.36222774001726,WON-4610
0.0006,1692.3039178631627,35,25,0.07822671821227395,0.0273,0,58.246340074974945,WON-4610
0.0006,1692.3039178631627,35,30,0.0726489114900472,0.0273,0,55.16762377715766,WON-4610
0.0006,1100.0,25,25,0.07822671821227395,0.0273,0,53.0042876865303,WON-4610
0.0006,1100.0,25,30,0.0726489114900472,0.0273,0,50.202649606873024,WON-4610
0.0006,1100.0,30,25,0.07822671821227395,0.0273,0,44.170239738775244,WON-4610
0.0006,1100.0,30,30,0.0726489114900472,0.0273,0,41.83554133906085,WON-4610
0.0006,1100.0,35,25,0.07822671821227395,0.0273,0,37.86020549037879,WON-4610
0.0006,1100.0,35,30,0.0726489114900472,0.0273,0,35.859035433480734,WON-4610
0.0004,2284.6078357263254,30,25,0.06401196278645457,0.0273,0,79.38052727453757,WON-4610
0.0004,2284.6078357263254,30,30,0.0578300991336613,0.0273,0,74.0064275254648,WON-4610
0.0004,2284.6078357263254,35,25,0.06401196278645457,0.0273,0,68.04045194960364,WON-4610
0.0004,2284.6078357263254,35,30,0.0578300991336613,0.0273,0,63.43408073611269,WON-4610
0.0004,2284.6078357263254,45,25,0.06401196278645457,0.0273,0,52.92035151635839,WON-4610
0.0004,2284.6078357263254,45,30,0.0578300991336613,0.0273,0,49.337618350309874,WON-4610
0.0004,1692.3039178631627,25,25,0.06401196278645457,0.0273,0,70.56054446177735,WON-4610
0.0004,1692.3039178631627,25,30,0.0578300991336613,0.0273,0,65.78356177715729,WON-4610
0.0004,1692.3039178631627,30,25,0.06401196278645457,0.0273,0,58.80045371814779,WON-4610
0.0004,1692.3039178631627,30,30,0.0578300991336613,0.0273,0,54.819634814297736,WON-4610
0.0004,1692.3039178631627,35,25,0.06401196278645457,0.0273,0,50.40038890126954,WON-4610
0.0004,1692.3039178631627,35,30,0.0578300991336613,0.0273,0,46.988258412255206,WON-4610
0.0004,1100.0,25,25,0.06401196278645457,0.0273,0,45.86445619410961,WON-4610
0.0004,1100.0,25,30,0.0578300991336613,0.0273,0,42.75941052375682,WON-4610
0.0004,1100.0,30,25,0.06401196278645457,0.0273,0,38.220380161758,WON-4610
0.0004,1100.0,30,30,0.0578300991336613,0.0273,0,35.632842103130685,WON-4610
0.0004,1100.0,35,25,0.06401196278645457,0.0273,0,32.76032585293543,WON-4610
0.0004,1100.0,35,30,0.0578300991336613,0.0273,0,30.542436088397732,WON-4610
0.0007000000000000001,5246.086261883446,30,25,0.08581051722066561,0.022,0,215.21433534166005,WOF-357
0.0007000000000000001,5246.086261883446,30,30,0.0805864035111112,0.022,0,204.78581511250843,WOF-357
0.0007000000000000001,5246.086261883446,35,25,0.08581051722066561,0.022,0,184.46943029285148,WOF-357
0.0007000000000000001,5246.086261883446,35,30,0.0805864035111112,0.022,0,175.53069866786439,WOF-357
0.0007000000000000001,5246.086261883446,45,25,0.08581051722066561,0.022,0,143.4762235611067,WOF-357
0.0007000000000000001,5246.086261883446,45,30,0.0805864035111112,0.022,0,136.5238767416723,WOF-357
0.0007000000000000001,3798.043130941723,25,25,0.08581051722066561,0.022,0,186.97214354941707,WOF-357
0.0007000000000000001,3798.043130941723,25,30,0.0805864035111112,0.022,0,177.91213935314693,WOF-357
0.0007000000000000001,3798.043130941723,30,25,0.08581051722066561,0.022,0,155.81011962451421,WOF-357
0.0007000000000000001,3798.043130941723,30,30,0.0805864035111112,0.022,0,148.26011612762244,WOF-357
0.0007000000000000001,3798.043130941723,35,25,0.08581051722066561,0.022,0,133.5515311067265,WOF-357
0.0007000000000000001,3798.043130941723,35,30,0.0805864035111112,0.022,0,127.0800995379621,WOF-357
0.0007000000000000001,2350.0,25,25,0.08581051722066561,0.022,0,115.6870846888421,WOF-357
0.0007000000000000001,2350.0,25,30,0.0805864035111112,0.022,0,110.0813005712837,WOF-357
0.0007000000000000001,2350.0,30,25,0.08581051722066561,0.022,0,96.40590390736841,WOF-357
0.0007000000000000001,2350.0,30,30,0.0805864035111112,0.022,0,91.73441714273642,WOF-357
0.0007000000000000001,2350.0,35,25,0.08581051722066561,0.022,0,82.6336319206015,WOF-357
0.0007000000000000001,2350.0,35,30,0.0805864035111112,0.022,0,78.6295004080598,WOF-357
0.0005,5246.086261883446,30,25,0.07095245729922962,0.022,0,185.55426531422992,WOF-357
0.0005,5246.086261883446,30,30,0.06505143508027658,0.022,0,173.77448160269316,WOF-357
0.0005,5246.086261883446,35,25,0.07095245729922962,0.022,0,159.0465131264828,WOF-357
0.0005,5246.086261883446,35,30,0.06505143508027658,0.022,0,148.94955565945128,WOF-357
0.0005,5246.086261883446,45,25,0.07095245729922962,0.022,0,123.70284354281996,WOF-357
0.0005,5246.086261883446,45,30,0.06505143508027658,0.022,0,115.84965440179545,WOF-357
0.0005,3798.043130941723,25,25,0.07095245729922962,0.022,0,161.20431139246253,WOF-357
0.0005,3798.043130941723,25,30,0.06505143508027658,0.022,0,150.97036760057708,WOF-357
0.0005,3798.043130941723,30,25,0.07095245729922962,0.022,0,134.33692616038542,WOF-357
0.0005,3798.043130941723,30,30,0.06505143508027658,0.022,0,125.80863966714756,WOF-357
0.0005,3798.043130941723,35,25,0.07095245729922962,0.022,0,115.1459367089018,WOF-357
