Discount Rate,CAPEX ($/kW),Capacity Factor (%),Economic Life (Years),Capital Recovery Factor,Fixed O&M Cost Fraction,Variable O&M Cost ($/MWh),LCOE ($/MWh),Technology,LCOE_Adjusted ($/MWh)
0.06,2284.6078357263254,45,25.0,0.07431538230166025,0.031395,0,61.15859140188864,Wind Onshore,241.5067677239985
0.06,2284.6078357263254,45,30.0,0.06901646591554483,0.031395,0,57.925942760649114,Wind Onshore,229.4008218274206
0.06,1692.3039178631627,25,25.0,0.07431538230166025,0.031395,0,81.54487610496493,Wind Onshore,178.89409412791238
0.06,1692.3039178631627,25,30.0,0.06901646591554483,0.031395,0,77.23467328802072,Wind Onshore,169.92671716725994
0.06,1692.3039178631627,30,25.0,0.07431538230166025,0.031395,0,67.9540634208041,Wind Onshore,178.89409412791238
0.06,1692.3039178631627,30,30.0,0.06901646591554483,0.031395,0,64.36222774001726,Wind Onshore,169.92671716725994
0.06,1692.3039178631627,35,25.0,0.07431538230166025,0.031395,0,58.246340074974945,Wind Onshore,178.89409412791238
0.06,1692.3039178631627,35,30.0,0.06901646591554483,0.031395,0,55.16762377715766,Wind Onshore,169.92671716725994
0.06,1100.0,25,25.0,0.07431538230166025,0.031395,0,53.0042876865303,Wind Onshore,116.28142053182629
0.06,1100.0,25,30.0,0.06901646591554483,0.031395,0,50.202649606873024,Wind Onshore,110.45261250709933
0.06,1100.0,30,25.0,0.07431538230166025,0.031395,0,44.170239738775244,Wind Onshore,116.28142053182629
0.06,1100.0,30,30.0,0.06901646591554483,0.031395,0,41.83554133906085,Wind Onshore,110.45261250709933
0.06,1100.0,35,25.0,0.07431538230166025,0.031395,0,37.86020549037879,Wind Onshore,116.28142053182629
0.06,1100.0,35,30.0,0.06901646591554483,0.031395,0,35.859035433480734,Wind Onshore,110.45261250709933
0.04,2284.6078357263254,30,25.0,0.06081136464713184,0.031395,0,79.38052727453757,Wind Onshore,210.65538317667625
0.04,2284.6078357263254,30,30.0,0.05493859417697823,0.031395,0,74.0064275254648,Wind Onshore,197.23840574314113
0.04,2284.6078357263254,35,25.0,0.06081136464713184,0.031395,0,68.04045194960364,Wind Onshore,210.65538317667625
0.04,2284.6078357263254,35,30.0,0.05493859417697823,0.031395,0,63.43408073611269,Wind Onshore,197.23840574314113
0.04,2284.6078357263254,45,25.0,0.06081136464713184,0.031395,0,52.92035151635839,Wind Onshore,210.65538317667625
0.04,2284.6078357263254,45,30.0,0.05493859417697823,0.031395,0,49.337618350309874,Wind Onshore,197.23840574314113
0.04,1692.3039178631627,25,25.0,0.06081136464713184,0.031395,0,70.56054446177735,Wind Onshore,156.04119214426063
0.04,1692.3039178631627,25,30.0,0.05493859417697823,0.031395,0,65.78356177715729,Wind Onshore,146.1026796689086
0.04,1692.3039178631627,30,25.0,0.06081136464713184,0.031395,0,58.80045371814779,Wind Onshore,156.04119214426063
0.04,1692.3039178631627,30,30.0,0.05493859417697823,0.031395,0,54.819634814297736,Wind Onshore,146.1026796689086
0.04,1692.3039178631627,35,25.0,0.06081136464713184,0.031395,0,50.40038890126954,Wind Onshore,156.04119214426063
0.04,1692.3039178631627,35,30.0,0.05493859417697823,0.031395,0,46.988258412255206,Wind Onshore,146.1026796689086
0.04,1100.0,25,25.0,0.06081136464713184,0.031395,0,45.86445619410961,Wind Onshore,101.42700111184502
0.04,1100.0,25,30.0,0.05493859417697823,0.031395,0,42.75941052375682,Wind Onshore,94.96695359467606
0.04,1100.0,30,25.0,0.06081136464713184,0.031395,0,38.220380161758,Wind Onshore,101.42700111184502
0.04,1100.0,30,30.0,0.05493859417697823,0.031395,0,35.632842103130685,Wind Onshore,94.96695359467606
0.04,1100.0,35,25.0,0.06081136464713184,0.031395,0,32.76032585293543,Wind Onshore,101.42700111184502
0.04,1100.0,35,30.0,0.05493859417697823,0.031395,0,30.542436088397732,Wind Onshore,94.96695359467606
0.07,4721.4776356951015,30,25.0,0.08151999135963232,0.022,0,215.21433534166005,Wind Offshore,488.7673240518542
0.07,4721.4776356951015,30,30.0,0.07655708333555564,0.022,0,204.78581511250843,Wind Offshore,465.33506480816436
0.07,4721.4776356951015,35,25.0,0.08151999135963232,0.022,0,184.46943029285148,Wind Offshore,488.7673240518542
0.07,4721.4776356951015,35,30.0,0.07655708333555564,0.022,0,175.53069866786439,Wind Offshore,465.33506480816436
0.07,4721.4776356951015,45,25.0,0.08151999135963232,0.022,0,143.4762235611067,Wind Offshore,488.7673240518542
0.07,4721.4776356951015,45,30.0,0.07655708333555564,0.022,0,136.5238767416723,Wind Offshore,465.33506480816436
0.07,3418.2388178475508,25,25.0,0.08151999135963232,0.022,0,186.97214354941707,Wind Offshore,353.85605288873825
0.07,3418.2388178475508,25,30.0,0.07655708333555564,0.022,0,177.91213935314693,Wind Offshore,336.8916480314322
0.07,3418.2388178475508,30,25.0,0.08151999135963232,0.022,0,155.81011962451421,Wind Offshore,353.85605288873825
0.07,3418.2388178475508,30,30.0,0.07655708333555564,0.022,0,148.26011612762244,Wind Offshore,336.8916480314322
0.07,3418.2388178475508,35,25.0,0.08151999135963232,0.022,0,133.5515311067265,Wind Offshore,353.85605288873825
